population,state
626932,AK
635300,AL
635300,AL
635300,AL
635300,AL
635300,AL
635300,AL
635300,AL
668360,AR
666058,AR
672756,AR
666226,AR
641329,AZ
641329,AZ
641329,AZ
641329,AZ
641329,AZ
641329,AZ
641329,AZ
641329,AZ
639087,CA
639087,CA
639088,CA
639088,CA
639088,CA
639087,CA
639088,CA
639088,CA
639088,CA
639088,CA
639088,CA
639088,CA
639088,CA
639088,CA
639088,CA
639088,CA
639088,CA
639088,CA
639088,CA
639088,CA
639088,CA
639088,CA
639088,CA
639088,CA
639087,CA
639088,CA
639088,CA
639087,CA
639088,CA
639088,CA
639088,CA
639087,CA
639088,CA
639088,CA
639088,CA
639087,CA
639088,CA
639088,CA
639088,CA
639088,CA
639087,CA
639088,CA
639087,CA
639088,CA
639088,CA
639088,CA
639087,CA
639087,CA
639087,CA
639087,CA
639087,CA
639087,CA
639087,CA
614465,CO
614465,CO
614467,CO
614466,CO
614467,CO
614466,CO
614465,CO
681113,CT
681113,CT
681113,CT
681113,CT
681113,CT
572059,DC
783600,DE
639295,FL
639295,FL
639295,FL
639295,FL
639295,FL
639295,FL
639295,FL
639295,FL
639296,FL
639295,FL
639295,FL
639296,FL
639295,FL
639295,FL
639295,FL
639295,FL
639296,FL
639295,FL
639295,FL
639295,FL
639295,FL
639295,FL
639295,FL
639295,FL
639295,FL
629761,GA
629735,GA
629748,GA
629690,GA
629727,GA
629725,GA
629706,GA
629700,GA
629762,GA
629702,GA
629730,GA
629735,GA
629732,GA
606718,HI
604819,HI
585302,IA
585241,IA
585305,IA
585305,IA
585171,IA
648774,ID
645179,ID
653647,IL
653647,IL
653647,IL
653647,IL
653647,IL
653647,IL
653647,IL
653647,IL
653647,IL
653647,IL
653647,IL
653647,IL
653647,IL
653647,IL
653647,IL
653647,IL
653647,IL
653647,IL
653647,IL
675562,IN
675766,IN
675457,IN
675617,IN
675577,IN
675669,IN
675674,IN
675564,IN
675599,IN
672091,KS
672102,KS
672124,KS
672101,KS
673629,KY
673224,KY
674032,KY
673588,KY
673670,KY
673626,KY
638355,LA
638562,LA
638322,LA
638466,LA
638517,LA
638324,LA
638430,LA
634479,MA
634444,MA
634585,MA
634624,MA
635326,MA
636554,MA
634287,MA
634835,MA
634062,MA
635901,MA
662062,MD
662060,MD
662062,MD
662062,MD
662060,MD
662060,MD
662060,MD
662060,MD
666936,ME
607987,ME
662563,MI
662563,MI
662563,MI
662563,MI
662563,MI
662563,MI
662563,MI
662563,MI
662563,MI
662562,MI
662563,MI
662563,MI
662563,MI
662563,MI
662563,MI
614935,MN
614934,MN
614935,MN
614935,MN
614935,MN
614935,MN
614935,MN
614935,MN
621690,MO
621690,MO
621690,MO
621690,MO
621691,MO
621690,MO
621690,MO
621690,MO
621690,MO
711160,MS
711164,MS
711115,MS
711219,MS
902195,MT
619178,NC
619178,NC
619178,NC
619178,NC
619178,NC
619178,NC
619178,NC
619178,NC
619178,NC
619178,NC
619177,NC
619178,NC
619178,NC
642200,ND
570325,NE
570421,NE
570517,NE
617575,NH
618211,NH
647258,NJ
647258,NJ
647257,NJ
647258,NJ
647258,NJ
647257,NJ
647257,NJ
647258,NJ
647257,NJ
647258,NJ
647258,NJ
647258,NJ
647258,NJ
606400,NM
606406,NM
606240,NM
666088,NV
666087,NV
666082,NV
654360,NY
654360,NY
654361,NY
654360,NY
654361,NY
654361,NY
654360,NY
654360,NY
654360,NY
654361,NY
654361,NY
654360,NY
654361,NY
654361,NY
654361,NY
654360,NY
654360,NY
654360,NY
654361,NY
654360,NY
654361,NY
654361,NY
654361,NY
654361,NY
654361,NY
654361,NY
654361,NY
654360,NY
654361,NY
630730,OH
630730,OH
630730,OH
630730,OH
630730,OH
630730,OH
630730,OH
630730,OH
630730,OH
630730,OH
630730,OH
630730,OH
630730,OH
630730,OH
630730,OH
630730,OH
630730,OH
630730,OH
690131,OK
690130,OK
690131,OK
690131,OK
690131,OK
684280,OR
684280,OR
684279,OR
684280,OR
684280,OR
646331,PA
646361,PA
646364,PA
646476,PA
646371,PA
646483,PA
646530,PA
646340,PA
645612,PA
646537,PA
646209,PA
646079,PA
646167,PA
646196,PA
646495,PA
646156,PA
646465,PA
646817,PA
647065,PA
524157,RI
524162,RI
668668,SC
668668,SC
668669,SC
668669,SC
668668,SC
668670,SC
754844,SD
632143,TN
632144,TN
632143,TN
632143,TN
632143,TN
632143,TN
632139,TN
632142,TN
632143,TN
651619,TX
651619,TX
651620,TX
651620,TX
651620,TX
651620,TX
651620,TX
651619,TX
651619,TX
651619,TX
651620,TX
651619,TX
651619,TX
651620,TX
651619,TX
651619,TX
651619,TX
651620,TX
651619,TX
651619,TX
651619,TX
651619,TX
651619,TX
651619,TX
651619,TX
651619,TX
651619,TX
651620,TX
651620,TX
651620,TX
651620,TX
651619,TX
744389,UT
744390,UT
744390,UT
643514,VA
643510,VA
643476,VA
643477,VA
643497,VA
643504,VA
643499,VA
643503,VA
643514,VA
643512,VA
643509,VA
608827,VT
654904,WA
654903,WA
654898,WA
654901,WA
654904,WA
654902,WA
654902,WA
654905,WA
654902,WA
670458,WI
670457,WI
670462,WI
670458,WI
670458,WI
670440,WI
670462,WI
670480,WI
602545,WV
602243,WV
603556,WV
493782,WY
